Binary HMF - Training one rating vs all (1 vs {2,3,4,5} and so on).

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.4980 	 0.3990 	 0.2220 	 0.0082 	 0.0007 	 0.1390 	 0.3809 	 1.0664
   2 	 0.4985 	 0.3978 	 0.2215 	 0.0081 	 0.0006 	 0.1387 	 0.3802 	 1.0657
   3 	 0.4961 	 0.3982 	 0.2208 	 0.0082 	 0.0006 	 0.1384 	 0.3794 	 1.0644
   4 	 0.4992 	 0.3975 	 0.2219 	 0.0078 	 0.0006 	 0.1387 	 0.3804 	 1.0660
   5 	 0.5001 	 0.3983 	 0.2216 	 0.0080 	 0.0007 	 0.1389 	 0.3808 	 1.0667
   6 	 0.4996 	 0.3994 	 0.2211 	 0.0080 	 0.0006 	 0.1388 	 0.3808 	 1.0668
   7 	 0.5004 	 0.3977 	 0.2215 	 0.0080 	 0.0006 	 0.1388 	 0.3806 	 1.0665
   8 	 0.4982 	 0.3985 	 0.2217 	 0.0082 	 0.0006 	 0.1389 	 0.3806 	 1.0660
   9 	 0.4978 	 0.3993 	 0.2212 	 0.0079 	 0.0006 	 0.1387 	 0.3803 	 1.0659
  10 	 0.5004 	 0.3988 	 0.2221 	 0.0084 	 0.0006 	 0.1392 	 0.3814 	 1.0674
